ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
CTKB,4.65,4.59,0.0131,0.2758,3226230,4,0.9082,0.226,0.0492,67.1,yf_premarket,0.02769465587532384,0.9082,0.06416610850636302,0.8,1.5,neutral,0.08797850906648758,4.322,4.6475,-0.325,fading,12:47:25,2026-07-06 12:47:25
BDTX,2.0,2.01,-0.005,0.5619,2801300,4,0.9425,0.149,0.0741,60.0,yf_premarket,0.05642359367782619,0.9425,0.09752176825184193,0.8,1.5,neutral,0.0,4.3184,4.3448,-0.026,steady,12:47:25,2026-07-06 12:47:25
FIG,20.9896,21.34,-0.0164,1.2361,20738840,4,0.8937,1.4425,0.0676,58.9,yf_premarket,0.12412387283353081,0.8937,0.08881446751507031,0.8,1.5,neutral,0.0,4.318,,,new,12:47:25,2026-07-06 12:47:25
CGNT,9.0,8.99,0.0011,0.8376,801620,5,0.8285,0.3269,0.0364,52.7,yf_premarket,0.0841082079810415,0.8285,0.04701942397856664,1.0,1.5,neutral,0.007387508394895903,4.3178,4.5431,-0.225,steady,12:47:25,2026-07-06 12:47:25
CDZI,4.2805,4.19,0.0216,0.8494,922290,4,0.8101,0.285,0.068,54.6,yf_premarket,0.08529311348984797,0.8101,0.08935030140656397,0.8,1.5,neutral,0.145063801208865,4.3104,4.7405,-0.43,fading,12:47:25,2026-07-06 12:47:25
DEA,25.54,25.54,-0.0,0.5871,555260,4,0.9532,0.615,0.0241,68.8,yf_premarket,0.05895406984917558,0.9532,0.030542531815137306,0.8,1.5,neutral,-0.0,4.3101,4.3184,-0.008,steady,12:47:25,2026-07-06 12:47:25
PAGP,24.0257,24.43,-0.0165,0.6038,1166770,4,0.9529,0.465,0.019,50.6,yf_premarket,0.06063101239129998,0.9529,0.023710649698593433,0.8,1.5,neutral,0.0,4.3086,,,new,12:47:25,2026-07-06 12:47:25
FDUS,19.5247,19.33,0.0101,0.6324,360870,4,0.897,0.354,0.0183,68.0,yf_premarket,0.06350290201433936,0.897,0.02277294038847957,0.8,1.5,neutral,0.06783075889858965,4.3024,,,new,12:47:25,2026-07-06 12:47:25
HL,16.5648,16.33,0.0144,0.7355,38899810,4,0.8583,0.725,0.0444,61.1,yf_premarket,0.07385576285823309,0.8583,0.057736101808439376,0.8,1.5,neutral,0.09670920080591,4.3013,,,new,12:47:25,2026-07-06 12:47:25
DV,11.38,11.44,-0.0052,0.4656,4772140,4,0.9534,0.406,0.0355,69.3,yf_premarket,0.046753559737312475,0.9534,0.04581379772270595,0.8,1.5,neutral,0.0,4.2998,4.7285,-0.429,fading,12:47:25,2026-07-06 12:47:25
ADT,6.75,6.83,-0.0117,0.7014,10067750,4,0.9365,0.178,0.0261,54.0,yf_premarket,0.07043158676922459,0.9365,0.03322170127260549,0.8,1.5,neutral,0.0,4.2953,4.3043,-0.009,steady,12:47:25,2026-07-06 12:47:25
CSX,48.85,48.89,-0.0008,1.013,13569570,4,0.9153,0.913,0.0187,61.2,yf_premarket,0.10172112545940191,0.9153,0.02330877427997321,0.8,1.5,neutral,0.0,4.2948,4.3122,-0.017,steady,12:47:25,2026-07-06 12:47:25
ATRC,31.6003,31.79,-0.006,1.1232,1376040,3,0.9935,1.533,0.0482,63.6,yf_premarket,0.11278693792300122,0.9935,0.06282652377762893,0.6,1.5,neutral,0.0,4.2876,4.3285,-0.041,steady,12:47:25,2026-07-06 12:47:25
