ticker,premarket_price,yesterday_close,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,macd_signal,price_source,norm_gap,norm_rvol,norm_pre_rvol,norm_breakout,norm_volatility,norm_trend,premarket_momentum,rsi_factor,macd_factor,score,rsi_label,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
AFL,115.6,,,0.6802612608619364,0.0,3050192,3,,2.6444439358181424,,,,yf_premarket,,0.06752198475995065,0.06752198475995065,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AFRM,63.47,,,0.6355646260201292,0.0,4823910,2,,3.5850007798936634,,,,yf_premarket,,0.06303767711805093,0.06303767711805093,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AG,15.8,,,1.4664045211032122,0.0,11544934,1,,1.1111108991834853,,,,yf_premarket,,0.14639387840484983,0.14639387840484983,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGBK,6.61,,,0.7163659852997805,0.0,367980,1,,0.3799999025132921,,,,yf_premarket,,0.07114428635554794,0.07114428635554794,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGCO,113.14,,,1.4024341434937737,0.0,690846,2,,3.2833345201280384,,,,yf_premarket,,0.13997588174392678,0.13997588174392678,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGEN,3.2121,,,0.936522883607925,0.0,530866,1,,0.19666671752929688,,,,yf_premarket,,0.09323210717235632,0.09323210717235632,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGI,33.64,,,1.4122912863410875,0.0,3586893,2,,1.5977770487467449,,,,yf_premarket,,0.14096482556830975,0.14096482556830975,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGIO,28.14,,,1.4165662661990974,0.0,899232,2,,1.495555453830295,,,,yf_premarket,,0.14139372418481835,0.14139372418481835,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGL,100.16,,,0.9294969133443858,0.0,252554,2,,8.010668436686197,,,,yf_premarket,,0.09252720819604503,0.09252720819604503,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGNC,10.23,,,0.9253259782020324,0.0,13629922,1,,0.1618431855017393,,,,yf_premarket,,0.09210874813973609,0.09210874813973609,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGO,75.35,,,0.6874859261919625,0.0,350829,2,,1.4666654798719618,,,,yf_premarket,,0.06824681834226098,0.06824681834226098,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGRO,12.26,,,1.125318782637109,0.0,738787,0,,0.5122221840752496,,,,yf_premarket,,0.11217355311727584,0.11217355311727584,,,0.0,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGX,610.0,,,0.8623500839284778,0.0,415949,3,,50.99333360460069,,,,yf_premarket,,0.08579052563940989,0.08579052563940989,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
AGYS,87.0,,,0.8826361205791802,0.0,342642,2,,4.3111114501953125,,,,yf_premarket,,0.08782577570909779,0.08782577570909779,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
